 , , F, , , , 

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	pPhone	fPhone	allPhones	index	nFormants	poles	bandwidths
AH	0	ON	655.9	1740.7	2864.5	371.5	272.9	725.1	51.188	51.172	51.22	0.048	6	4	4	2	0	0			675.5	1755.4	650.6	1735.0	636.5	1686.4	627.3	1635.0	613.6	1621.9		N	['AH0', 'N']	0	6	[1263.548954935115, 3347.5449903972294],[482.3869476040578, 1726.461856949829, 3301.3930814307914, 4766.456366932235],[550.8813461244574, 1797.4026556548715, 3299.548114479994, 4540.811682623938],[655.916216079415, 1740.7335344308046, 2864.546889554848, 3477.646467461353, 4723.059078927738]	[999.7076888974557, 651.25464450806],[348.8607321536081, 405.2803066914031, 235.45703508658448, 924.117117031099],[505.26395900515496, 359.41030117635717, 186.03975957407746, 929.5931789615696],[371.4535417464851, 272.9423735056993, 725.0638166560308, 685.1986428765593, 570.6665891909341]
AH	0	THE	632.7	1424.1	2843.4	174.0	238.0	489.8	51.277	51.26	51.31	0.05	6	0	0	0	4	0			620.3	1425.2	632.7	1424.1	638.9	1383.3	634.6	1342.8	634.4	1309.8	N		['N', 'AH0']	1	6	[844.626068280149, 3480.5735079351475],[571.7918636203157, 1525.5167307144718, 3500.5665198173856],[509.59164664257304, 1281.1888999320038, 2929.2182475475497, 3563.5105320742564],[632.7083456738139, 1424.0900515688388, 2843.436619720906, 3578.9374930872764, 4730.166191602426]	[542.7094488659042, 398.8045932284866],[405.99448550601693, 1130.2921801653724, 284.52331591891635],[230.97235537536372, 468.8965529910197, 1086.7256885604122, 368.8261989569289],[174.0467333386624, 238.02965166607075, 489.82734439911445, 146.82703176076964, 1076.8366547720195]
EH	0	WEST	761.4	1905.0	3208.4	127.6	305.1	394.3	51.401	51.384	51.436	0.052	2	3	4	1	9	0			764.9	1877.0	759.1	1909.6	730.3	1938.9	686.1	1934.2	652.0	1938.6	W	S	['W', 'EH0', 'S']	1	6	[826.1933156925992, 3217.8649345419212],[663.425552149696, 1789.1200964559553, 3269.599551073527],[747.7330454941501, 1975.1811362483918, 3255.143688527817, 4676.580552808166],[761.3833813981023, 1904.974632363955, 3208.366108353587, 3747.5128479799146]	[497.1716679744542, 438.9152129883255],[213.5403853820461, 825.9563928306108, 217.36730220821562],[206.4952416173147, 442.6454865794807, 132.88171179295279, 864.3873210219981],[127.64101088795692, 305.10466234253795, 394.3251291962825, 1234.8440693594307]
AY	0	SIDE	893.9	1764.9	2718.0	403.5	199.2	814.7	51.624	51.575	51.689	0.114	41	0	0	0	3	0		s	828.8	1738.6	879.4	1735.6	877.8	1801.3	797.0	1874.0	712.3	1896.4	S		['S', 'AY0']	1	6	[1607.3580264308991, 2798.3087497694596],[791.8532599938642, 1753.6990362885801, 2972.4656871577213, 4960.81766970824],[810.6800133392867, 1749.7378070404343, 3171.894644045796, 4844.217884248967],[893.899503258404, 1764.885563945621, 2718.0110411695473, 3202.118715107272, 4914.3964098996385]	[557.030157808137, 1056.4100051426954],[471.3037575847775, 235.9472443138301, 417.6381340345582, 1108.7950878958516],[339.25811923633046, 134.767615596072, 283.44124727868973, 700.696058654834],[403.52659441575815, 199.24562025572934, 814.6832706415918, 665.7720291496281, 387.61613374453356]
AH	0	OF	697.3	1970.2	2693.8	196.3	196.2	900.0	51.71	51.689	51.751	0.062	6	3	2	1	0	0			676.1	1930.5	699.0	1976.0	664.3	1888.3	648.9	1914.4	610.8	1848.0		F	['AH0', 'F']	0	6	[1167.5836399063032, 2616.0599816063336],[611.811231361968, 1977.9550103455051, 2989.9350216805456],[641.9214196627934, 1870.8182581131068, 2437.7829639453093, 3930.193139162557],[697.2564712779265, 1970.1767506983824, 2693.8081308959304, 3148.0959129865832, 4863.694773822933]	[826.6820001773028, 678.5530935821557],[191.01192497375646, 304.3643175424041, 477.6224215030914],[227.28727300637223, 1165.8739372707198, 310.52134307656985, 438.5363969853815],[196.31113407504955, 196.24546196774634, 900.0292326947742, 602.2016170146891, 382.42950184413087]
AH	0	COLUMBUS	694.7	1377.2	3336.2	443.2	217.8	603.1	52.029	52.005	52.078	0.073	6	4	1	2	8	4			695.1	1339.9	690.1	1379.1	667.7	1368.6	636.9	1324.9	709.3	1909.4	L	M	['K', 'L', 'AH0', 'M', 'B', 'EH0', 'S']	2	4	[1225.8246254621224, 3700.1040686124534],[694.7496136687961, 1377.2273259261665, 3336.229225231887, 4690.565074819539],[793.58179961343, 1377.01560328082, 3067.330212321658, 4407.73093647593],[840.9053292230499, 1411.0556796970125, 2423.4776926384848, 3414.0102021676144, 4564.33147718857]	[283.7640719653148, 1331.276369839518],[443.19422263792, 217.77161872256397, 603.1113954313774, 1026.0712842475448],[718.7667293649519, 545.6774088883338, 477.21170797230036, 722.1649251313189],[317.79659359816105, 192.6412544430186, 1187.9346684282045, 329.4954255076596, 461.4287939084997]
EH	0	COLUMBUS	716.3	1949.2	2628.9	219.9	116.2	1781.5	52.213	52.172	52.294	0.122	2	3	4	1	1	0			720.9	1884.7	715.1	1961.3	690.5	2014.6	672.1	2028.8	541.9	2040.4	B	S	['K', 'L', 'AH0', 'M', 'B', 'EH0', 'S']	5	6	[1553.6579842721858, 3371.581873948474],[576.6232717017573, 1928.8637510794465, 3363.860076927909, 4844.736029288257],[678.2409494681996, 1972.9467580064004, 3351.675311129382, 4688.542944911723],[716.3404465574564, 1949.194274242083, 2628.865780752999, 3370.7859898720867, 4628.88498755193]	[800.5005342965486, 1365.850002710118],[217.41388816100581, 193.0947329298728, 273.7897320011552, 789.5838463282597],[337.79517684837447, 118.68958286408889, 154.56512183974453, 620.3931512814346],[219.946621553435, 116.20589144098717, 1781.5081017118746, 159.44264278389736, 469.1061369514651]
AH	0	UM	575.6	1655.3	3522.9	404.9	218.2	220.1	53.375	53.265	53.595	0.33	6	4	1	2	0	0			629.0	1659.7	565.0	1653.1	538.2	1626.7	539.9	1599.1	558.1	1857.7		M	['AH0', 'M']	0	4	[1413.084317672506, 3503.6539309397103],[575.5701066223588, 1655.2971651181354, 3522.920157405097],[554.9828876479244, 1625.0331822823175, 2735.1957497844624, 3554.1695080410072],[590.097207695802, 1578.607866308153, 2559.151746860213, 3530.701154021475]	[524.1225141212333, 720.5267668766364],[404.93478369829324, 218.1590237962354, 220.13512223130604],[295.7608687341533, 203.4526615586182, 2239.186734981032, 408.7269057133281],[448.973818368144, 165.17595622623855, 1200.9207363852552, 250.8430697389453]
AH	0	UM	777.5	1725.9	3277.8	309.3	124.2	329.1	56.668	56.598	56.808	0.21	6	4	1	2	0	0			796.1	1755.9	774.7	1735.9	825.2	1646.6	733.0	1683.2	701.4	1595.3		M	['AH0', 'M']	0	5	[1434.2909272613795, 3523.3225728613256],[662.4809842171176, 1696.1548368915637, 3477.6189083016875],[777.4791363265072, 1725.9420221256794, 3277.8280573497505, 4182.707464830575],[678.7264662999519, 1286.8379591272073, 1969.861115859422, 3314.7706278748938, 4258.93925159153]	[572.7682875997851, 1551.7329917302166],[326.5136016489117, 231.49696986913972, 468.5112047568316],[309.33022053566924, 124.17396424610641, 329.05585411552386, 600.8755980967181],[477.354725057158, 794.5058146804985, 1041.79569074413, 229.167360721376, 402.54741731322605]
AY	0	I'M	971.5	1747.0	2848.1	294.8	161.8	521.5	56.996	56.899	57.106	0.207	41	4	1	2	0	0			777.9	1570.1	848.4	1603.8	940.5	1775.8	825.5	1729.8	674.7	2187.8		M	['AY0', 'M']	0	5	[1278.8738995983679, 1966.8536794416934],[937.3385722737596, 1748.1981407152623, 3065.6825958648265],[971.4686192997137, 1747.002844564319, 2848.1411556220633, 3878.2323192550684],[921.5117742661834, 1366.0298145150207, 1883.6131746178364, 2948.4487944083476, 4007.946349933089]	[919.9813710728669, 1025.1017525970262],[380.1540548129129, 238.84879386198213, 719.1253026241665],[294.7793180729951, 161.79519496828897, 521.498339703453, 754.6100385631585],[391.5840269425156, 1295.878632133237, 682.2665410364419, 424.3291995727338, 559.3253362315816]
EY	0	A	634.4	2326.4	3270.0	60.3	129.9	268.7	57.194	57.172	57.483	0.311	22	0	0	0	0	0			626.0	2473.9	624.5	2515.6	584.8	2592.9	487.8	2650.6	434.3	2617.7			['EY0']	0	6	[1242.6458528477324, 3548.600932923943],[571.4596426976439, 2426.1372027287016, 3508.3767633625525],[626.7707968723442, 2345.010571445652, 3303.1137017474193, 4252.6328566950115],[634.3864677511692, 2326.355104442945, 3269.964222529579, 3913.6317699285296]	[640.4703222667268, 475.509341205614],[88.12209103375308, 420.9607376035495, 505.37256387749534],[92.13388473226848, 138.91167197811873, 212.99430904229928, 476.4194970666199],[60.316214755418656, 129.94485317882302, 268.7040634208313, 1509.1675042050388]
AH	0	UM	828.2	1747.0	2950.7	753.7	329.8	621.2	57.581	57.483	57.778	0.295	6	4	1	2	0	0			896.0	1828.3	805.4	1743.1	603.7	1581.0	819.7	1646.1	750.9	1537.8		M	['AH0', 'M']	0	5	[1549.5800047459734, 3197.348254807358],[683.7295491115219, 1688.9854233970555, 3141.229736888154],[828.1916057871917, 1746.9660501233384, 2950.6594738768845, 3882.6901742351724],[390.9453007325389, 1181.7949142661942, 1793.8760151676254, 2973.635500326133, 3805.729115890347]	[619.4535188451523, 919.0407041281029],[1131.7592483737023, 470.55879247935263, 614.1524953964037],[753.6970927394776, 329.7670386419213, 621.2346246153259, 965.6561905148751],[1198.6570051680972, 880.1404089432431, 365.2946614127977, 421.4471873309709, 658.7980998296676]
IH	0	IT'S	541.6	2172.0	2466.7	185.2	193.5	993.4	59.82	59.799	59.861	0.062	1	3	4	1	0	0			548.0	2167.5	540.8	2171.1	529.4	2162.1	474.5	2157.2	399.9	2001.6		S	['IH0', 'S']	0	6	[1673.887681552769, 2892.948996283912],[517.106816057233, 2172.232004043416, 3151.1657367376397, 5043.305171747296],[502.7108714051945, 1845.8177843148833, 2306.2819974612103, 3232.8928175258134, 4983.7117774030685],[541.6070048123182, 2172.0036034282343, 2466.664060410679, 3265.4487493328884, 4978.390654662031]	[771.2854440825624, 1337.9326539370686],[165.35451325375246, 100.77305084146693, 279.5280940672999, 903.1598503625944],[147.50224097210088, 1029.0638477419216, 719.0030602235166, 163.98910107885405, 262.305975367288],[185.19633339174297, 193.47197033265638, 993.3868886570216, 168.3278500095164, 254.06888696809818]
AH	0	KIND	567.2	1920.5	2507.4	559.4	713.9	567.7	60.066	60.05	60.099	0.049	6	4	4	2	6	0			607.7	1933.1	555.3	1915.3	451.1	1861.6	573.0	2047.1	624.8	2056.0	K	N	['K', 'AH0', 'N']	1	6	[2092.9989317754125, 3560.467961058627],[395.50781234099765, 2188.2664980279114, 3268.4263125043003],[372.2061515645961, 1865.121329250763, 2339.8731486439483, 3496.7040044641935],[567.2337068159111, 1920.4596272997278, 2507.4312881935098, 3260.62848091272, 4301.445019341715]	[539.3706832698632, 951.2173933281186],[645.0138302234844, 252.58848207249056, 475.0384821228335],[658.3293249203059, 1206.831923727052, 263.32476235039326, 335.979091085993],[559.3949782936037, 713.9131097424049, 567.6656787025689, 707.2048206437414, 248.03251834655373]
