 , , F, , , , 

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	pPhone	fPhone	allPhones	index	nFormants	poles	bandwidths
IY	0	HAPPY	518.3	2590.1	3249.8	207.1	289.8	378.9	5.15	5.11	5.23	0.12	12	0	0	0	1	0			507.3	2462.5	520.1	2596.0	530.3	2553.2	507.9	2771.4	468.2	2768.1	P		['HH', 'AE1', 'P', 'IY0']	3	4	[401.64192246504325, 2867.5510907574558, 4235.902032885368],[518.3274072894679, 2590.1219681400908, 3249.8139421142364, 4342.696538004649],[503.9032521343913, 2413.17221928655, 3069.9630642230054, 3710.403702428697, 4342.645170531921],[494.8826816914277, 2016.9363790600723, 2630.9714043218673, 3207.5566062383073, 4320.406575108223]	[1138.1652801342038, 227.7159943780415, 249.76646869068247],[207.0520692282414, 289.78176548509606, 378.9413522702852, 96.42059840980295],[78.42123694973992, 387.17018422718104, 358.9704589156804, 1728.212786299283, 138.61407911292218],[44.4490721017567, 862.1636982629761, 403.28299291340494, 318.32755971122253, 140.21954684160846]	removed	unallowed
AH	0	TODAY	378.8	1985.5	3012.5	117.4	208.9	298.6	5.33	5.31	5.37	0.06	6	1	4	2	3	1			363.1	1990.8	379.5	1986.0	385.0	2009.8	386.8	2003.2	380.7	1973.1	T	D	['T', 'AH0', 'D', 'EY1']	1	5	[1568.7727022960032, 3291.6287848700995],[375.16350471561213, 2158.981685618699, 3199.7004073221415, 4421.441074165586],[378.80938673816377, 1985.5224426246286, 3012.4906655179984, 4061.8096876646923],[366.3255191705021, 1496.6996082063197, 2075.7787999523334, 3027.107520798302, 3926.8088177181776, 4767.039292337521]	[739.5207291106947, 816.4348141604288],[325.252910014304, 392.9783813420267, 399.29010273152676, 480.4434413786771],[117.43667267637466, 208.88796156565266, 298.6217568860019, 1051.6140987678432],[81.34225380025043, 977.787531115284, 290.5639575357759, 118.93706789730918, 210.5500632359405, 246.9706788786639]	removed	unallowed
EY	1	TODAY	789.1	2257.8	3241.5	181.7	259.3	717.2	5.46	5.431	5.49	0.059	22	0	0	0	3	0			751.6	2225.7	776.5	2237.8	789.1	2257.8	812.5	2286.8	845.8	2287.8	D		['T', 'AH0', 'D', 'EY1']	3	4	[1310.090871252337, 2939.6397938859845],[789.0841429377195, 2257.833818934635, 3241.4870039671673, 4462.003260378361],[803.7788961800467, 2267.274116737406, 3105.200716985781, 4194.793341740198],[729.0802640166963, 1258.2840140758044, 2286.1402647519512, 3172.2060481954877, 4207.967336437647, 4630.085754933657]	[1080.5512871118983, 499.44801459347286],[181.7291648662379, 259.3094004680893, 717.2272146385006, 420.90182184377585],[194.02066101915108, 202.00615196005936, 1791.9054289406265, 440.13606765010707],[195.93267007215027, 822.5458524025831, 114.19693829159657, 340.2004913681872, 674.7306532198726, 631.3392366895699]	removed	unallowed
IH	0	BECAUSE	373.1	2553.2	3307.6	259.8	149.5	785.9	6.088	6.061	6.141	0.08	1	1	6	1	1	1			361.4	2433.5	373.8	2561.1	378.4	2608.5	373.1	2662.0	355.4	2643.2	B	K	['B', 'IH0', 'K', 'AH1', 'Z']	1	4	[2162.6612223945554, 3739.3326848674506],[373.14419169575996, 2553.193078646804, 3307.636912394893, 4086.2768845006135],[373.82737615425174, 2440.040691520184, 2859.448193346019, 3993.288770279672, 4333.478349935946],[369.3642525189869, 2200.570008781547, 2545.7939097662284, 3084.1396881131104, 4041.2239312907855]	[256.8256660150953, 162.23006398849782],[259.8190190281108, 149.49479954468748, 785.8760051250407, 151.17834353779887],[69.65976887297161, 238.6531971050745, 489.38847743781, 423.2410876064458, 1552.50682768084],[42.03915626831355, 933.8901303903633, 421.3576824811238, 713.8284504798336, 115.78501025107252]	removed	unallowed
AH	1	BECAUSE	995.6	1240.6	2966.4	200.4	86.1	254.3	6.411	6.311	6.61	0.299	6	3	4	2	6	0			975.4	1319.6	1006.6	1227.3	963.5	1179.0	926.2	1311.4	866.4	1125.6	K	Z	['B', 'IH0', 'K', 'AH1', 'Z']	3	5	[1162.4192287206831, 1944.353500792953],[1109.6213990729068, 1218.5591339677628, 3239.993594312482, 4372.3290244686505],[995.5629221453534, 1240.591067278521, 2966.4110052228907, 4212.791498657479],[897.1626291762694, 1214.353879513765, 1880.3373037519113, 3039.958251861285, 4209.6042211009]	[57.40294518926783, 2541.450203318049],[501.0605978502123, 587.4822983897268, 920.9165344221249, 369.00359917503135],[200.38069298137452, 86.13908485406888, 254.31333943971475, 161.00019591781262],[137.58371429660303, 40.427196790258904, 731.4835046955646, 150.29885525173674, 89.38697901817939]	removed	unallowed
IH	1	IT'S	392.9	2476.7	3290.6	206.9	128.5	930.4	7.067	7.014	7.174	0.16	1	1	4	1	0	3			375.8	2565.4	395.0	2472.2	414.2	2399.3	474.5	2316.1	567.2	2186.6		T	['IH1', 'T', 'S']	0	4	[869.9411228990324, 2980.8127491223336],[392.94766572633523, 2476.705381608433, 3290.5911972195336, 4314.997769621737],[388.32464000627556, 2461.877054332505, 2840.4354879104317, 3972.8398258833536],[378.0879189208921, 1802.0184991214596, 2510.1876331710514, 3346.352031167783, 4232.197810345709]	[669.7158965805044, 267.82992574204343],[206.9365679543619, 128.46405429832907, 930.3609833191605, 663.8851728047343],[136.20180071366016, 382.6447560693094, 1171.7424652850773, 1167.7633794722756],[68.6471966985367, 674.0911789707715, 74.84963256484126, 271.13553721172264, 178.2456630135704]	removed	unallowed
AY	1	FINAL	1197.2	1665.9	2972.1	133.0	336.1	445.0	8.384	8.273	8.553	0.28	41	4	4	2	1	1			1128.3	1521.7	1176.7	1605.1	997.2	1940.8	764.5	2308.9	603.4	1139.4	F	N	['F', 'AY1', 'N', 'AH0', 'L']	1	5	[1324.7958693003293, 2515.9107949267022],[1191.6751358098845, 1633.9638212846235, 3024.865942985958, 4492.031643160303],[1197.1697245389425, 1665.865709311112, 2972.1439627945506, 4371.5031142257085],[1113.9703758183907, 1391.4690754742371, 1914.747739748563, 3078.561372947645, 4070.2710143800396]	[270.6662357565139, 962.152927575043],[167.29593437961233, 433.4552467518954, 673.8270199274685, 571.7446015910677],[133.04543159092333, 336.08747877199283, 444.97552333549885, 513.1108449916712],[405.2026537891403, 676.760292822799, 1930.4585842663325, 143.68312674754222, 236.9733058155439]	removed	unallowed
AH	0	FINAL	761.9	1842.6	2950.3	209.1	303.3	484.7	8.644	8.634	8.663	0.029	6	5	4	2	4	0			761.9	1842.6	761.9	1842.6	763.2	1821.0	765.3	1804.7	765.3	1804.7	N	L	['F', 'AY1', 'N', 'AH0', 'L']	3	4	[899.3436607127392, 2133.457640052098, 3668.5917816460615],[761.9441848067596, 1842.5842907597728, 2950.2999957957577, 4120.981739882295],[793.0221118735627, 1465.5202782275258, 2323.25430941182, 3483.4945063298405],[737.212661538289, 1408.1920629775411, 2225.429685677757, 3107.3651339276444, 3944.0385543696316]	[634.6178121536378, 683.8342161378456, 766.8287686923561],[209.10785217161956, 303.2898367067266, 484.72924036645674, 517.0708032296635],[308.57564073059524, 1470.9695956437165, 348.4092384987056, 254.82196417777578],[773.4809762609407, 726.5381870136667, 789.1582538271227, 897.8462848835162, 1075.4483265137258]	removed	unallowed
AW	1	COUNTDOWN	1123.5	1574.0	2989.1	208.5	341.4	1097.6	9.556	9.549	9.679	0.13	42	4	4	2	6	4			1101.3	1499.3	1011.4	1400.7	895.2	1320.7	882.6	1312.0	830.5	1340.3	K	N	['K', 'AW1', 'N', 'T', 'D', 'AW2', 'N']	1	5	[1286.140985899915, 2535.4131651565513, 4297.931565755917],[1197.7948831403066, 1684.3215850793058, 3131.6534794837366, 4556.618332395899],[1123.5053289662753, 1574.036087346265, 2989.0968616132072, 3420.328413801172, 4556.872302835712],[1040.0479594737633, 1376.621232968136, 1913.5509774474838, 3025.6396364480106, 4054.2439180918136, 4687.57927612092]	[162.7925733120546, 1158.8236575470792, 976.1396803362821],[210.71415741270718, 702.4232488775266, 473.99305406755985, 300.29903151740973],[208.54912756186695, 341.3641067895903, 1097.5976669634624, 1659.4668498895567, 328.58312585306436],[326.38047100830227, 358.8917249692016, 652.1370710848437, 243.81874523080464, 579.9820618116371, 254.01337835298986]	removed	unallowed
AW	2	COUNTDOWN	1055.0	1537.2	3023.1	185.3	214.8	89.5	10.066	10.058	10.098	0.04	42	4	4	2	3	0			1055.0	1537.2	1051.8	1536.2	1044.0	1535.3	1039.6	1534.2	1040.0	1533.7	D	N	['K', 'AW1', 'N', 'T', 'D', 'AW2', 'N']	5	5	[1225.6212901219562, 2741.3366253692157, 4532.84458162374],[1075.0323920808312, 1524.4556682524337, 3047.293704467805, 4634.326080677957],[1055.0306675688437, 1537.1562467834012, 3023.0599427177945, 4588.98515909637],[973.919619756141, 1415.7947380474743, 1692.6492462872911, 3029.073111675274, 4530.927301374472]	[153.57049187427592, 1013.832376237294, 1423.2943781894],[260.6540777419521, 341.4850586706214, 137.10945199293158, 100.87226816041219],[185.31200198520847, 214.81734355380502, 89.48711296338381, 137.95942888689163],[259.52342523195955, 368.1845013047119, 807.2795800820988, 60.66336082690037, 481.8312076555432]	removed	unallowed
