 , , M, , , , 

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	pPhone	fPhone	allPhones	index	nFormants	poles	bandwidths	plotmish - changed	plotmish - removed	plotmish - note	plotmish - annotator				
AO	1	MORE	515.2	1098.6	2571.7	23.4	214.1	61.7	14.818	14.721	15.011	0.29	64	6	4	2	2	0			482.9	1036.9	518.6	1104.7	536.1	1090.9	542.7	1030.2	570.9	1134.3	M	R	['M', 'AO1', 'R']	1	5	[547.114799417353, 2578.111278024221, 4199.58031468027],[548.7495566745471, 1869.6784509522665, 3201.0874089967356],[515.2194625521233, 1098.6354180109804, 2571.6824588260606, 3425.0891809844657, 4322.96789034775],[511.6434679025307, 1057.8661397132225, 2543.079295260204, 3063.2416791439073, 3795.4798483464197]	[59.13426960042443, 334.9917189644382, 495.9276640831577],[80.3551541261698, 1800.471700047129, 233.42426661918478],[23.38622727043222, 214.11667838873328, 61.675134809423724, 250.90880991166824, 57.09085103550369],[8.670690588933711, 81.00464150331909, 63.877646017863164, 912.3824592529102, 1062.9835382859883]				
AY	1	I	761.9	1250.8	2115.5	219.4	263.7	1951.9	15.675	15.601	15.772	0.171	41	0	0	0	0	0		m	771.6	1150.6	857.7	1227.1	742.8	1267.3	677.1	1319.8	550.8	1284.3			['AY1']	0	6	[1211.802108557296, 2856.8052759146535],[991.2089017696662, 1335.284719566568, 2923.336804509134],[748.655120896602, 1255.8960486266938, 2522.8615389562833, 3098.019146709986],[761.8892409778584, 1250.7662601422455, 2115.471713762067, 2823.818926271502, 3741.0150777089334]	[127.82733507057252, 408.860358682932],[792.3184920759305, 511.2868181503969, 279.7501856337232],[198.67040969629704, 57.55265582454181, 484.17291066175784, 169.66729734513262],[219.36803537797132, 263.74935150911125, 1951.8783555549883, 377.47963910487636, 186.09107104075557]				
IH	1	REALLY	436.3	1525.0	2166.0	111.6	155.0	635.0	15.855	15.832	15.901	0.069	1	5	4	2	7	1			414.1	1537.2	438.5	1522.9	459.2	1497.1	464.0	1462.0	440.3	1442.1	R	L	['R', 'IH1', 'L', 'IY0']	1	6	[1666.4826865811326, 3469.837712021802],[878.7356693130121, 2124.901691858242],[455.3293581247077, 1585.9713167438229, 2417.3371743780126, 3488.4360845397996, 4410.931216995555],[436.3025099732338, 1525.0266089829806, 2165.9790739690247, 2786.7370040358137, 3530.2633376570548, 4455.57302175707]	[524.6050587104447, 536.458340462563],[964.5199220215134, 1023.5119197227],[223.6977026996432, 149.5729970226041, 361.17692105841803, 147.40583918419335, 413.5522886866571],[111.59630427890215, 155.0302121700132, 635.0291880030273, 784.5071319861094, 136.01299821229946, 243.1271429837411]				
IY	0	REALLY	342.6	1989.5	2638.1	301.3	252.5	216.6	15.951	15.931	15.992	0.061	12	0	0	0	7	0			349.0	1960.4	342.0	1992.9	321.7	2015.5	302.8	2030.9	273.9	2007.9	L		['R', 'IH1', 'L', 'IY0']	3	5	[2386.7602679550955, 3843.473969362217],[2189.88925769764, 2684.826729173057, 4055.803857758412],[342.6185933912409, 1989.4811305916635, 2638.1456830620546, 3841.471592391645],[336.85051895809613, 1917.6141798932676, 2060.8993883406674, 2703.7278779821772, 3832.1497341407985]	[333.7615849443548, 1018.9946650682479],[821.3040000175439, 935.6682322072232, 578.9003475668343],[301.29767917451437, 252.4720614299965, 216.59983803960066, 442.64688234562874],[289.0292734185862, 1622.8255642085935, 1447.9215504459028, 229.30834107945674, 367.1224937540517]				
IY	1	FEEL	536.1	1394.8	1953.1	130.9	258.6	1281.8	16.072	16.062	16.092	0.03	11	5	4	2	1	0			536.1	1394.8	536.1	1394.8	542.5	1363.5	546.5	1333.0	546.5	1333.0	F	L	['F', 'IY1', 'L']	1	6	[813.1126257520483, 2580.830271806715],[1003.7200291034917, 2154.628676157603, 3794.413336651679],[553.7058917073158, 1432.598636739307, 2572.8049216460477, 3636.2940567437313, 4438.565298728027],[536.1459685861815, 1394.7539059625983, 1953.07579309871, 2612.572883097293, 3695.966511454997, 4468.306562743286]	[631.2628499629794, 674.8330079384893],[975.501767904549, 692.881750887916, 519.7094764649866],[140.89646437558847, 170.0013958712182, 108.60092045514341, 419.26264036600566, 462.1997734025307],[130.86027733386368, 258.60009366588986, 1281.827474825715, 114.77258763214489, 180.00605269264793, 195.48788092269137]				
AY	1	LIKE	691.1	1314.7	2817.0	85.2	78.7	380.6	16.154	16.152	16.202	0.05	47	1	6	1	7	0		s	684.5	1380.4	674.8	1442.9	666.5	1493.6	657.5	1557.8	645.4	1605.4	L	K	['L', 'AY1', 'K']	1	5	[1172.0274231686394, 3294.2311344969653],[872.9397269400438, 1479.3251030206238, 3413.727311163855],[691.1390243117572, 1314.653872580418, 2817.004596626617, 3585.047096202805],[682.4389592540045, 1313.515572155219, 2109.6563364672793, 2980.501598360763, 3595.747327433637]	[690.7055261804542, 1200.576963486091],[804.6671948983135, 720.3763112279605, 385.2666669608681],[85.24042960846427, 78.65577686740755, 380.64596658980895, 157.2326754198775],[72.43624593251293, 86.67649806176927, 1545.4008436519778, 636.3110067771236, 161.76456955894162]				
AH	0	A	520.3	1755.0	2640.4	137.5	140.8	144.9	16.275	16.262	16.302	0.04	6	0	0	0	0	0			520.2	1760.6	520.2	1749.2	507.7	1710.1	473.2	1681.8	458.8	1679.8			['AH0']	0	5	[1453.0024737164686, 2861.3648768157022],[495.0734863902812, 1926.807889221759, 2812.9106632948915, 4083.6303058781236],[520.315213655545, 1754.9872885677041, 2640.3880880401625, 3679.7347342335856],[497.57322982819096, 1671.6159944431513, 1840.1258873208617, 2683.8966115622934, 3650.991745225229, 4592.820349604156]	[1257.0275639770114, 1034.2904143735614],[885.794601410685, 579.5201867604447, 569.9759667164242, 757.6740606847052],[137.49380233448622, 140.7664014779768, 144.91427052060845, 336.58376124283336],[74.26610714715221, 559.1237801531457, 440.7464921613145, 101.00177236695585, 144.24155533307206, 428.6363924981442]				
IY	1	TV	377.8	2388.8	3375.5	859.5	60.9	179.2	16.419	16.382	16.492	0.11	11	3	2	2	3	1			263.9	2304.7	386.6	2390.9	669.9	2455.8	1238.2	2639.2	933.3	2361.2	T	V	['T', 'IY1', 'V', 'IY1']	1	5	[2391.3281422644927, 3556.6921440152196],[1074.2076631677485, 2776.2871859265397, 3739.118674546382],[377.8477351926499, 2388.780247097124, 3375.534167714043],[235.72580775550995, 1738.8790107686468, 2354.147318126821, 3355.2698579810494, 4004.6609009976264]	[204.22986810619503, 249.25157194309577],[388.09737664748553, 106.2593118268593, 278.9377506119416],[859.4966523734265, 60.865997964541414, 179.24277513684973],[498.3289709210231, 2490.529128057873, 61.11989520819183, 140.85317803922834, 309.1077513100515]				
IY	1	TV	294.2	2268.7	3006.9	308.8	61.4	659.3	16.569	16.522	16.662	0.14	12	0	0	0	1	0			273.3	2231.0	290.8	2269.4	225.0	2326.3	236.2	2397.5	551.7	2542.3	V		['T', 'IY1', 'V', 'IY1']	3	5	[2307.384636263236, 3516.65694187955],[2115.690230314436, 3140.0625175495165, 4406.144685231379],[294.1892886470287, 2268.6848409010095, 3006.888511291489, 3599.0680744513006],[328.18479656676243, 2263.212134927519, 2869.156102230159, 3481.9897459706203, 4550.286682234805]	[106.55397631500962, 752.6150207913212],[112.15255604446516, 377.7378113481154, 551.9356124254598],[308.7845109915148, 61.351640425287975, 659.2654070740855, 1688.2307010794036],[577.5241364062077, 51.081302672013145, 554.2199499044334, 760.5516886672875, 546.9720303890211]				
AY	1	GUY	775.3	1358.2	2614.1	174.0	116.5	231.8	16.789	16.702	16.892	0.19	41	0	0	0	6	0			634.0	1444.3	699.1	1354.4	766.0	1382.2	711.8	1548.3	623.0	1749.7	G		['G', 'AY1']	1	5	[1854.5241681772684, 3729.448007414029],[955.8126636792767, 1347.0224440719403, 2794.524699194955],[775.2679890213885, 1358.225467741583, 2614.061254183753, 3500.547041001228],[757.7575497870994, 1367.9446334114373, 1442.1442087519742, 2637.332594540432, 3511.511212914358, 4773.181878879436]	[824.8962992042003, 1076.6643422347493],[669.9659223852952, 494.2929780135146, 331.5406192227185],[174.0388193943459, 116.49584165890946, 231.7650108275088, 851.3443608841221],[205.13970339753624, 246.77995921585003, 1305.155353025522, 123.96205627180478, 277.7093581969986, 294.424018476373]				
AW	1	NOW	656.6	1697.7	2616.5	137.1	84.9	137.3	16.979	16.942	17.122	0.18	42	0	0	0	4	0			655.1	1702.4	685.3	1574.2	680.7	1396.8	651.3	1242.0	601.9	1120.9	N		['N', 'AW1']	1	5	[1824.473395725895, 2968.5713535613277],[739.2684287536513, 1775.5201670859867, 2812.585288919695, 4546.118489334419],[656.5668430143146, 1697.7290726419774, 2616.5191738103067, 3489.766530104709],[618.1968445808021, 1729.7687316700828, 1861.3460720064622, 2664.604231587518, 3528.3187285774684]	[715.8906248296224, 910.0479035802991],[1138.8369046987675, 486.0506748048676, 414.12052176642925, 1536.4496290517138],[137.09244560831397, 84.9379495648774, 137.31147355366366, 414.34900942181326],[96.13212222681634, 269.98461274293135, 1177.0054300329782, 132.76117773808528, 182.57099022913187]				
AY	1	LIKE	601.6	1328.5	1674.8	78.7	46.8	1811.6	17.179	17.192	17.262	0.07	47	1	6	1	7	0			576.4	1527.9	564.0	1604.0	546.6	1688.7	520.3	1781.8	498.2	1894.6	L	K	['L', 'AY1', 'K']	1	6	[1403.847027877623],[787.5340387918077, 1406.3301772752227],[610.6056284065496, 1331.1774694926896, 2648.6786478924796, 3619.712599661372],[601.619315671184, 1328.5214177142416, 1674.7891390130999, 2680.807361646066, 3606.6175237405714]	[375.15880197830336],[1053.6903221797995, 754.6108861964948],[84.64433854542023, 35.901137632666604, 190.44874991143573, 263.72013952156453],[78.68731478249855, 46.81044376247244, 1811.6072378745587, 136.70175692242182, 130.18311819101834]				
