 , , M, , , , 

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	pPhone	fPhone	allPhones	index	nFormants	poles	bandwidths	plotmish - changed	plotmish - removed	plotmish - note	plotmish - annotator				
AY	1	I	771.3	1588.4	2642.5	274.5	283.3	591.8	73.459	73.454	73.504	0.05	41	0	0	0	0	0		m	750.0	1516.2	712.6	1460.8	673.5	1445.0	569.0	1405.2	564.6	1478.8			['AY1']	0	5	[1238.6753041793866, 2942.7417407081953],[1174.3492648893873, 1822.4104782147517, 3331.887930669365],[771.3306690308414, 1588.3604248842719, 2642.4652912279744, 3645.6622105201195],[731.790548773206, 1395.78586820759, 2021.4518274713287, 2898.842889420233, 3684.941822087003]	[1003.5612076284509, 1402.7521919587316],[734.0047468857024, 1136.0267650290145, 491.31402046289213],[274.4500115558131, 283.2723596959679, 591.8033824233639, 446.56958372831485],[290.7517522603826, 423.7007230442608, 1123.7509835186265, 287.4797847343376, 709.6159807192826]				
AA	1	PROBABLY	652.5	1175.6	2131.9	52.2	290.1	114.9	73.591	73.574	73.624	0.05	5	1	1	2	8	1			641.3	1143.7	652.5	1175.6	649.9	1200.3	653.2	1249.8	648.1	1280.0	R	B	['P', 'R', 'AA1', 'B', 'L', 'IY0']	2	6	[722.7676152915601, 2247.0283757547672],[707.88965518838, 1959.8355700330537, 2799.0657631423564],[650.6009007443522, 1163.3153160234908, 2128.280575747135, 2999.4175997791176, 4622.922741428263],[652.4925524350969, 1175.5579450468517, 2131.889235020658, 2904.8496671836015, 4022.9993132406316]	[147.56601523022726, 526.5889856434331],[99.41107540523579, 580.713777144068, 614.9381147387844],[50.72463341178653, 294.0668476253863, 118.85308899807187, 183.44225134570516, 407.68375722803154],[52.2269658798164, 290.0578138653444, 114.89151639103142, 1252.5793516189915, 540.5566266224337]				
IY	0	PROBABLY	444.0	1693.7	3611.8	758.8	500.9	828.0	73.684	73.674	73.704	0.03	12	0	0	0	8	0			444.0	1693.7	444.0	1693.7	414.3	1664.4	390.1	1628.8	390.1	1628.8	L		['P', 'R', 'AA1', 'B', 'L', 'IY0']	5	3	[443.9929723820198, 1693.687066997174, 3611.8300499553634],[429.63424400193855, 1599.061394848344, 2612.1891671002027, 3786.953386366821],[404.6488609923159, 1394.8382129289994, 2145.635249186697, 3510.3841033620497, 4361.048867157689],[401.9265447103391, 1381.4874466584579, 2116.8061363385796, 3061.424858703407, 3713.163562534254]	[758.8066323813669, 500.94659749261, 828.0100439428771],[473.9591461113965, 431.2356985887031, 1608.4850475946537, 631.9433061669451],[57.06220603569002, 96.32552579134783, 185.2143798422825, 266.9056645288813, 952.5875872443424],[43.22141842307844, 90.10249697569668, 206.26604348037878, 1910.0540283478151, 889.631236494954]				
UH	1	WOULDN'T	363.4	1447.3	2209.0	73.7	108.1	483.0	73.784	73.774	73.803	0.029	7	1	4	2	9	1			363.4	1447.3	363.4	1447.3	360.4	1448.6	348.6	1449.1	348.6	1449.1	W	D	['W', 'UH1', 'D', 'AH0', 'N', 'T']	1	6	[1460.4696816731555, 2886.748839490669],[363.0996494084982, 1560.577489487276, 2729.0723368261733, 4048.7086915448394],[366.92189434974375, 1483.4994173771404, 2531.0722374591064, 3124.1413564597506, 4318.028358106963],[363.4346769004327, 1447.2703626417776, 2208.967744102091, 2825.981701194773, 3787.140351012426]	[862.0887656244356, 811.4976472579109],[380.6029938208932, 267.1012810502773, 294.74520506434084, 945.0754976317351],[121.45182133574767, 134.48535649451867, 403.30818078495287, 859.0223094406971, 1120.0072139384447],[73.71191656333949, 108.05985380028692, 482.9839368229272, 264.09909146386036, 475.78363048766323]				
AH	0	WOULDN'T	389.2	1705.8	2534.0	104.4	75.1	271.0	73.854	73.844	73.873	0.029	6	4	4	2	3	3			389.2	1705.8	389.2	1705.8	390.5	1701.7	390.2	1693.8	390.2	1693.8	D	N	['W', 'UH1', 'D', 'AH0', 'N', 'T']	3	6	[1367.3149977767273, 2748.2100212294604],[368.05471476253547, 1809.945245228649, 2840.0851646451442, 3888.646765294348],[361.0335785572173, 1706.8996033790368, 2628.8258879748396, 3389.377145133707],[389.2386864071543, 1705.75779532628, 2533.9892016118947, 3051.7332534645598, 3866.8291590093013]	[965.2873020283067, 763.6303974727965],[188.9074763356399, 238.98027983146642, 322.0407752763895, 823.5275364192651],[68.6143273259691, 147.41703932296085, 288.4071946936012, 626.7954897788242],[104.44587182567739, 75.08688532926614, 270.96414533319535, 428.37911335577814, 601.568990371474]				
AE	1	HAVE	366.2	1859.6	2534.4	67.6	48.0	555.6	73.987	73.973	74.014	0.041	3	3	2	2	0	0			367.2	1860.9	366.2	1859.6	362.0	1853.0	354.7	1837.7	353.4	1834.3	HH	V	['HH', 'AE1', 'V']	1	5	[1910.9788563810841, 3591.987142998761],[371.8903651469811, 1894.0480479112218, 3315.5876805082357],[366.2489133002075, 1859.5937402678223, 2534.4404718521314, 3515.820435501045],[375.53270931826495, 1148.7951858506185, 2137.3410030214554, 2926.8814739754293, 3953.9516763611227]	[186.45160722285917, 523.2245593532097],[248.45200483371937, 56.46314651019472, 411.22930795884326],[67.59766738613659, 47.99024194112469, 555.6280597528223, 174.51171801936266],[99.96598207778716, 1616.5913555843092, 114.55253354364993, 201.40702341676865, 276.81924212368546]				
AH	0	BEEN	264.8	1267.3	2176.3	57.5	532.8	77.9	74.073	74.063	74.093	0.03	6	4	4	2	1	0			264.8	1267.3	264.8	1267.3	269.4	1238.6	274.2	1205.7	274.2	1205.7	B	N	['B', 'AH0', 'N']	1	6	[628.2926236325693, 2495.8917515977305],[276.5636531030214, 2173.5742798352426, 2492.4776193037114, 4485.77601759403],[267.0604427278719, 1469.7591082105462, 2210.448125511554, 3261.653532789926, 4522.64046725144],[264.77863262148156, 1267.3036530556255, 2176.2698834031103, 3053.944960862326, 4035.6999331082125]	[285.71672637005594, 429.40599823955125],[158.8527960819273, 163.55649745970388, 2472.824663842952, 879.707760826102],[73.37839840185222, 814.4181947499881, 145.5141972259302, 541.3368696032053, 349.40327060799615],[57.46051118398314, 532.767147146546, 77.87675279781793, 431.6549489090631, 550.8599537812114]				
IY	1	MEAN	292.4	1167.9	2317.9	54.3	380.7	135.4	74.163	74.153	74.183	0.03	11	4	4	2	2	0			292.4	1167.9	292.4	1167.9	291.2	1174.9	290.7	1184.2	290.7	1184.2	M	N	['M', 'IY1', 'N']	1	6	[175.95270179529103, 2574.488296412355, 3664.2874655563546],[318.31760080902575, 2368.630322011817, 3237.395804454101],[311.5892005197391, 1627.5770323902002, 2410.447248000812, 3267.91592898567],[292.36618393801814, 1167.9003050427407, 2317.9485565183895, 2960.622029433654, 3499.3421946441244]	[679.4898312480914, 420.6305061509447, 1070.0364079871265],[236.82866771404716, 304.80538289862284, 499.5634510575296],[173.36297481928156, 1898.1645652337265, 281.6048383581381, 368.4981024029532],[54.331083962021054, 380.6858845985814, 135.44739977305406, 333.177036664026, 474.8684107745914]				
AH	0	TO	404.3	1667.7	2037.6	73.6	70.2	1646.4	74.3	74.283	74.333	0.05	6	0	0	0	3	0			402.0	1682.5	404.3	1667.7	403.7	1650.9	399.1	1631.0	395.0	1612.6	T		['T', 'AH0']	1	6	[1754.7814902648163, 3165.2370378873834],[1740.0134076486177, 2940.677188715695],[411.8198281034075, 1673.2411496040056, 2491.0902889678323, 3595.007757113128, 4690.809174319645],[404.2835867726315, 1667.7212846519164, 2037.621848457925, 2543.241834903148, 3644.7878256536014, 4660.240146198807]	[361.1342480449205, 1325.6353336327638],[306.7471443984393, 984.4287484943778],[100.32422995640042, 47.40223664945318, 177.15769659665827, 348.91185890135193, 571.216187297575],[73.57320660350639, 70.20769360922952, 1646.3669230627481, 219.62057464017627, 203.54857904534202, 254.27578349392215]				
EH	1	SARA	499.8	1715.8	1837.4	42.7	57.8	2137.7	74.493	74.423	74.633	0.21	2	6	4	2	3	1			463.3	1582.3	501.6	1712.5	501.9	1654.1	506.2	1516.7	503.4	1481.2	S	R	['S', 'EH1', 'R', 'AH0']	1	6	[1810.9366746231485, 3248.87153220618],[528.3233433180403, 1789.6542177480767, 2907.866646714847, 3893.810607067684],[502.9780906404841, 1713.992817998667, 2459.322316277539, 3360.2708662968985],[499.7506020598308, 1715.7928679682625, 1837.3844107016357, 2498.594503100258, 3376.304433719325, 4560.013071265172]	[399.8741780308363, 814.4347821117884],[384.21245921690434, 150.63000573694998, 507.4652529052982, 1053.0446061693706],[47.68833623370169, 45.49839556185251, 221.78236241280584, 240.9380840314077],[42.721238650456456, 57.752566292973164, 2137.741328212053, 220.5767054410936, 167.96314495128604, 643.5874647760288]				
AH	0	SARA	530.1	1423.6	2379.1	58.7	55.9	187.4	74.693	74.683	74.713	0.03	6	0	0	0	7	0			530.1	1423.6	530.1	1423.6	529.1	1419.5	527.6	1414.9	527.6	1414.9	R		['S', 'EH1', 'R', 'AH0']	3	5	[1258.3615533109923, 2288.1723322024586],[571.6503992389964, 1495.9870864739455, 2658.982711093327, 4582.373542702142],[530.114057814452, 1423.6442437912792, 2379.1415247370674, 3475.671742472991, 4703.396380950349],[541.322823984824, 1410.2510167143573, 2225.3345278892857, 3241.1635251809093, 4377.080825065637]	[825.0766486265115, 1527.1748075804996],[429.4253016249541, 283.8732998950616, 509.1456951070836, 688.532778245856],[58.720610010212724, 55.92829936242856, 187.38544006459324, 647.6374915300187, 604.521673805345],[77.40364782521353, 378.069149692955, 388.14811723589315, 419.411790957284, 686.3225281557782]				
AH	0	A	518.5	1382.3	2401.7	79.3	83.1	202.0	74.723	74.713	74.743	0.03	6	0	0	0	0	0			518.5	1382.3	518.5	1382.3	514.1	1374.3	509.7	1366.3	509.7	1366.3			['AH0']	0	5	[1178.7475975878256, 2656.0580991353672],[615.8909389392139, 1591.383753948884, 2788.3387225684974],[518.5031728640178, 1382.3263157297797, 2401.7266209481672, 3315.468755232416, 4501.3820135933065],[531.6400745410151, 1313.6277861409, 2154.3355280253695, 3046.3219474156917, 4104.807014534708]	[636.2770061081245, 1095.8217533359182],[527.3058705858331, 441.4901820540071, 457.72202948073107],[79.27042606951474, 83.0703105892867, 201.95937928709128, 498.611585686475, 598.780262482638],[101.66946823218301, 899.6382453610494, 125.99614927353258, 239.44477775590704, 526.7601104613492]				
UW	1	FEW	283.4	1968.0	2635.9	97.4	149.6	401.0	74.933	74.923	74.953	0.03	82	0	0	0	9	0			283.4	1968.0	283.4	1968.0	286.2	1966.9	288.4	1977.6	288.4	1977.6	Y		['F', 'Y', 'UW1']	2	5	[2175.854208074806, 4018.810183196495],[1361.9323454925134, 2890.4730143965608],[283.43529823771985, 1967.9747551595271, 2635.949169288701, 3733.859057458071, 4488.26084223814],[283.06392264666, 1794.7009465186045, 2194.4396250889267, 2924.430936202505, 3934.590287889701]	[523.5640170597566, 630.7622805466499],[352.07412121776616, 1371.5708197805382],[97.41220997007422, 149.63825020832115, 401.034272343428, 227.3334202930965, 403.6925328790325],[100.24203884115528, 1168.5503943565675, 1146.0448217001922, 311.431074327037, 124.0466225683158]				
AY	1	TIMES	662.9	1314.2	2309.5	164.4	126.2	620.2	75.061	75.014	75.153	0.139	41	4	1	2	3	3		m	657.2	1370.6	662.7	1311.3	651.3	1293.4	650.2	1291.8	638.8	1308.9	T	M	['T', 'AY1', 'M', 'Z']	1	5	[1601.9834112872861, 3162.13617639501],[1079.4889997419496, 2273.8125610353136],[662.8717173960947, 1314.2157268780816, 2309.450257100214, 3210.2894113810494, 4617.780348644871],[657.9606271891331, 1268.6667501606141, 1685.1366594157164, 2518.651551606693, 3288.8897543890344, 4600.942166390569]	[1068.3816688676393, 1413.75953018394],[1485.4882143821692, 672.9936726445987],[164.41893129684962, 126.20176712777538, 620.2038469991495, 349.5466927335381, 474.3370109447986],[149.49642451845904, 1038.95595603647, 1332.1012769024296, 417.874199880826, 446.5159798676132, 294.5922960635947]				
AY	1	LIKE	560.3	1365.4	2361.8	30.4	53.0	281.1	75.506	75.474	75.584	0.11	47	1	6	1	7	0			552.1	1327.9	558.2	1383.5	526.4	1432.5	474.7	1560.1	424.2	1728.8	L	K	['L', 'AY1', 'K']	1	5	[1155.9463913456773, 3218.8042885579835],[814.1799561443371, 2172.743828515132, 3366.774375341412],[560.3342303543992, 1365.3514041163562, 2361.769838698981, 3401.832668087123],[576.0721843384548, 1392.1715327405445, 2416.055522075808, 3410.98705424259, 4764.304338837271]	[524.6596809296931, 1211.5432764458883],[415.27800949521077, 564.887602866775, 232.92281651039076],[30.44347881368888, 52.99200361009198, 281.1283092985244, 70.17026771178054],[51.397036223314224, 40.90621380637373, 164.07206050030243, 40.604485013810866, 350.79448440611907]				
AY	1	I	473.0	1424.9	2403.5	45.9	292.2	119.0	75.709	75.694	75.724	0.03	41	0	0	0	0	0		m	460.2	1419.6	463.7	1422.5	473.0	1424.9	482.1	1436.1	482.1	1436.1			['AY1']	0	5	[530.0424650236141, 2409.0682553559],[541.1356454868737, 2262.6080996355736, 3477.1827940512862],[473.0059053488165, 1424.8671505602947, 2403.5169263040752, 3502.122826309509],[473.1403803109284, 1413.2333124676925, 2037.559662639266, 2642.211881176189, 3675.9010038990223]	[335.0457213308918, 564.9427851507338],[246.00880084292604, 332.48593977075194, 483.04139506805905],[45.86521329984468, 292.1857241077614, 118.96726145286567, 157.34691014646592],[48.832124077144655, 590.1656154097341, 1166.1423610619695, 833.2338631482198, 160.1555215995765]				
AH	0	DUNNO	553.1	1390.3	2458.3	89.3	164.8	183.1	75.767	75.744	75.814	0.07	6	4	4	2	3	1			535.7	1391.0	554.6	1390.9	570.6	1368.1	573.3	1349.0	549.3	1281.7	D	N	['D', 'AH0', 'N', 'OW1']	1	6	[724.4044931707206, 2590.056794206657],[626.9069057853117, 1898.9840023692961, 3277.586569231738],[535.0008348445845, 1346.9344604515331, 2438.5772154467945, 3425.2772484955626],[553.0975503492272, 1390.2645015931876, 2458.300175960393, 3416.4468862965377]	[615.3800295959204, 1796.5752393601042],[330.6779499908083, 804.8200913798348, 507.3799077956501],[71.3197426508217, 206.60920255991317, 283.9648677085799, 202.9955908636076],[89.2629658846185, 164.76081098968265, 183.0578109832446, 167.22316288311097]				
OW	1	DUNNO	465.6	1287.3	2176.9	170.8	148.7	1783.8	75.871	75.864	75.954	0.09	63	0	0	0	4	0			450.6	1275.6	415.2	1242.0	373.0	1244.2	329.1	1241.5	305.0	1240.4	N		['D', 'AH0', 'N', 'OW1']	3	6	[1160.1171948554206, 2734.4103418125615],[458.04803419425093, 1308.8434078946568, 2630.24586110549, 4252.597761928795],[473.61855705919714, 1299.685210489899, 2460.3147962724256, 3310.6223867252097, 4372.3766685443725],[465.58503955256487, 1287.2659638522719, 2176.860873776854, 2601.5030917027943, 3653.810406755064]	[623.4705760927104, 1076.0182831601735],[718.250155539836, 374.6474384974141, 358.76103605723546, 567.5831873866762],[196.4610629847872, 145.85728227835511, 227.16711048270537, 1116.6000483281562, 627.5769611629644],[170.78237351647397, 148.73969607994886, 1783.783413006332, 595.678294928618, 1409.2195851800504]				
AY	1	I	594.7	1344.8	2422.8	190.4	128.7	198.7	76.625	76.59	76.66	0.07	41	0	0	0	0	0		m	584.1	1455.3	560.2	1414.0	594.7	1344.8	610.8	1274.6	561.5	1180.0			['AY1']	0	6	[1100.1264250553068, 2920.9144411105594],[951.8827833974118, 1973.425343353689, 3285.094638870952],[561.7448636746993, 1306.4865660024336, 2402.269054464652, 3408.895484217896, 4603.369368772423],[594.6881068699537, 1344.786469457519, 2422.7727541925583, 3392.0490900005643]	[495.44636981474156, 1459.8253787865467],[357.46718809535946, 916.1590334204142, 870.9270703678537],[141.39920023476904, 152.32786244878386, 321.3999716292946, 211.91651349329632, 394.3631499165576],[190.37734051570183, 128.72844093743203, 198.74838686085354, 151.96377816566684]				
UH	1	WOULDN'T	415.2	1356.0	2504.7	120.3	143.1	62.4	76.769	76.759	76.79	0.031	7	1	4	2	9	1			415.2	1356.0	415.2	1356.0	399.0	1371.8	382.5	1378.1	382.5	1378.1	W	D	['W', 'UH1', 'D', 'AH0', 'N', 'T']	1	5	[1028.0099668268322, 2577.2690618024017],[1027.7911455543153, 2559.4429268407125],[415.2002014550697, 1356.0049007309929, 2504.7022287386126, 3143.4413257847045, 4599.088705593679],[432.7503152765795, 1374.650069446403, 2498.9423283022725, 3092.6894926792797, 4269.300870636797]	[1167.0782094155902, 238.40743459057535],[790.0182504403251, 233.89420857937918],[120.25979398176183, 143.05325650538134, 62.38229750409742, 306.9869022963326, 598.7688130619957],[155.3052809231732, 119.15933506138752, 47.07256464660013, 234.99990152954265, 784.5539241728027]				
AH	0	WOULDN'T	414.2	1707.6	2583.7	146.4	175.9	171.4	76.862	76.849	76.889	0.04	6	4	4	2	3	3			415.3	1708.6	413.2	1706.1	408.0	1678.3	399.6	1630.8	394.1	1613.9	D	N	['W', 'UH1', 'D', 'AH0', 'N', 'T']	3	6	[1614.4094485515484, 2871.983270807647],[408.2669990848724, 1955.138227927362, 2906.0268828591074, 4071.0802409481626],[394.3487675761805, 1657.7785862512458, 2561.5173661163985, 3356.7821187900818],[414.2045991807177, 1707.5927593482838, 2583.7390647477537, 3301.0234320167087, 4261.271492242768]	[1450.1641344716277, 941.6582229292317],[383.0368765480985, 519.3367229304872, 470.07113567495304, 962.7668011844643],[91.71646192936804, 227.6285726769377, 248.00943895692345, 437.74170531357925],[146.41648958679423, 175.89676824115378, 171.36178350962192, 328.1720704558567, 448.7295820548559]				
AE	1	HAVE	389.0	1979.6	2969.8	163.1	152.0	529.4	77.022	77.009	77.049	0.04	3	3	2	2	0	0													HH	V	['HH', 'AE1', 'V']	1	4	[2167.5712720740203],[389.0077343346714, 1979.6021293192234, 2969.7701191212363],[380.96232530579516, 1900.976236494236, 2564.3227838025023, 3629.9013496391085],[386.53246860879796, 1366.2007809367547, 2257.1735564241653, 3068.989969976995, 4210.5652072445555]	[465.4697310116224],[163.0512729089761, 151.96243462172853, 529.3766077403986],[59.34602792980253, 147.76814188432215, 573.2045634837036, 809.6014694092701],[195.21009409953413, 947.2025957375372, 157.3915518621197, 187.4280976933214, 254.46287396782142]				
AH	0	BEEN	323.3	1789.5	2620.1	173.1	320.5	198.5	77.109	77.099	77.129	0.03	6	4	4	2	1	0			323.3	1789.5	323.3	1789.5	320.8	1814.1	319.0	1845.5	319.0	1845.5	B	N	['B', 'AH0', 'N']	1	5	[758.4957933601977, 2810.6988791498043],[309.24613625104126, 2216.302077014741, 3043.300087524104, 3936.165571501604],[323.26405498839165, 1789.5404724115003, 2620.125309636369, 3759.4919183909456],[345.71910978490706, 1167.1200890646194, 2213.004835532427, 3140.2763021141227]	[608.7020466020432, 471.7958101985953],[368.78130509557894, 484.6061241013768, 2349.0025234852483, 1081.6004730697232],[173.10830064223669, 320.5489520402248, 198.5095314054649, 140.14063324692688],[368.58851421342223, 812.3072383388743, 151.70055545281173, 113.99888302031982]				
OW	1	MOST	566.2	1098.6	2712.6	60.3	267.0	239.2	78.657	78.65	78.71	0.06	62	3	4	1	2	0			566.2	1098.6	536.1	1113.2	502.6	1167.6	474.4	1262.1	459.4	1341.5	M	S	['M', 'OW1', 'S']	1	5	[640.804693804514, 3059.611740583575],[639.4620831295321, 2075.9899329811483, 3244.5825289148565],[566.1813764456139, 1098.563933158675, 2712.606027348216, 3380.9790331884765],[542.3296530182444, 1093.9565898589476, 2480.5628227034226, 3278.3632087728042, 4334.722865772751]	[141.96642200056897, 997.8645513732434],[145.18446528724746, 1271.4601858221442, 872.4753497196627],[60.2769195630301, 267.0456282609903, 239.21284300511644, 292.97074426067],[706.5883758735736, 292.55943673829427, 142.4368754835791, 170.45307130202002, 482.4183115575386]				
AH	1	OF	504.6	1436.4	1969.2	117.8	71.0	2158.1	78.803	78.79	78.83	0.04	6	3	2	2	0	0			500.2	1438.9	508.8	1434.0	527.4	1416.6	534.9	1393.0	535.7	1386.0		V	['AH1', 'V']	0	6	[1352.9985585648774, 3096.8462944417984],[551.724430085172, 1616.8134837483276, 3100.5602789596514],[514.9833373885289, 1442.5959503497988, 2844.8991039967445, 3646.647879007888],[504.63631906659737, 1436.3662672276762, 1969.2356131289273, 2853.2949357989155, 3651.589763953695]	[545.3433998672082, 400.89697127798354],[808.9178090795044, 245.787882159235, 245.40863633735952],[143.61271911622828, 60.48784562452007, 93.03281537867703, 291.7669906954977],[117.77216683717472, 71.02228329726849, 2158.0727894912434, 83.49951525989803, 207.26611802949282]				
AY	1	MY	750.2	1356.5	1728.6	83.9	99.8	656.7	78.959	78.92	79.05	0.13	41	0	0	0	2	0		s	741.1	1292.6	749.1	1397.7	728.3	1523.6	688.9	1551.8	621.6	1348.9	M		['M', 'AY1']	1	6	[1238.8715553131024, 1747.9865451033256, 3211.7610524850234],[1125.3987189778545, 1338.167363717447, 3230.3193859819685],[804.5889252882849, 1374.1929629764193, 2666.591674583126, 3340.5293738452906],[750.2453577564679, 1356.4852805306957, 1728.575669498369, 2712.0210669184125, 3353.502095247573]	[1378.952790293506, 1586.9653239719369, 1170.053960978049],[824.8942121623678, 916.6614946162487, 489.18179979169275],[156.11959807174426, 81.14971884833825, 209.59707849356855, 78.74158253559],[83.91519489451511, 99.75266371305672, 656.6841259224851, 115.86068895627423, 31.30027306890447]				
IH	1	THINGS	457.7	1966.0	2771.3	109.4	145.6	51.2	79.11	79.1	79.129	0.029	1	4	6	2	3	3			457.7	1966.0	457.7	1966.0	456.3	1981.9	454.6	1999.7	454.6	1999.7	TH	NG	['TH', 'IH1', 'NG', 'Z']	1	5	[2056.4410585176765, 2800.6366494715458],[535.0984982228798, 2256.69715789483, 2956.4924665391263],[457.6788505367648, 1966.0445960075076, 2771.326564003404, 3616.962790330697],[449.58202995476245, 1888.4774749615349, 1979.42287020958, 2776.951763063538, 3633.4221479866105]	[1372.869716464945, 311.94892578827296],[738.8589596427119, 588.8743442275213, 265.9602375780715],[109.3771893025518, 145.63526043848654, 51.2281338685849, 322.57551873722963],[83.55064883483077, 1389.7173147025321, 956.9478118494221, 52.74752228054868, 286.8001890425288]				
IH	1	DIFFERENTLY	413.3	1841.3	2664.4	36.5	83.4	92.9	79.326	79.3	79.379	0.079	1	3	2	1	3	2			393.3	1827.4	416.4	1844.4	426.7	1848.0	420.9	1811.8	404.9	1725.3	D	F	['D', 'IH1', 'F', 'R', 'AH0', 'N', 'T', 'L', 'IY0']	1	5	[1867.0077153090667, 2751.964188155568],[422.3996792031427, 1983.8776649277677, 2784.678817832167, 4227.811648763253],[413.3183074878189, 1841.2611157134202, 2664.4285465736552, 3339.3910468875215, 4577.214829318957],[422.8123112086396, 1843.607891504556, 2645.4444141435797, 3171.0176605036954, 4086.136687442684]	[1291.2685051340457, 438.9700694963179],[302.835545786826, 295.52384346290614, 157.98513437808734, 721.0492673526076],[36.49232514272322, 83.37199995255048, 92.87018063380629, 576.2949491648322, 846.7274729675985],[53.45324751781089, 48.9768720958426, 72.03213488588256, 392.4377935852593, 675.3839975336366]				
AH	0	DIFFERENTLY	432.5	1339.8	1993.6	182.7	116.0	779.1	79.46	79.45	79.48	0.03	6	4	4	2	8	4			432.5	1339.8	432.5	1339.8	425.1	1341.0	417.4	1338.5	417.4	1338.5	R	N	['D', 'IH1', 'F', 'R', 'AH0', 'N', 'T', 'L', 'IY0']	4	6	[1360.085037690113, 2909.609272154167],[1179.7255615983543, 2135.9023362302005, 3096.6177255293073],[457.94417582898103, 1378.2609931728405, 2505.4181442946515, 3101.4266206763223],[432.4809231716777, 1339.7825403354511, 1993.6376390060082, 2827.0413519259687, 3229.7474764674716, 4588.148549766778]	[352.91810499674983, 351.38960604126515],[462.39951822379896, 2474.3765035175657, 741.3073781476398],[368.235613858249, 135.50471419494522, 460.95463203205827, 386.4805201868546],[182.70595873378056, 116.03820708076037, 779.0543574535274, 356.5553588976461, 638.5574124431156, 869.0629315022455]				
IY	0	DIFFERENTLY	374.1	2081.9	2731.4	79.3	226.4	134.0	79.63	79.57	79.75	0.18	12	0	0	0	8	0			381.8	2075.0	375.5	2085.3	380.0	2147.2	384.4	2088.3	391.7	1937.9	L		['D', 'IH1', 'F', 'R', 'AH0', 'N', 'T', 'L', 'IY0']	8	6	[279.4164697160448, 2655.0012965775954, 3981.980075306145],[366.6103822471144, 2338.697402014454, 2868.253641696098, 4212.713365201432],[359.98341044440184, 2099.8256003151937, 2758.422716775092, 3681.583164181994, 4189.869271620506],[374.05407112830136, 2081.8580144067687, 2731.3666877757205, 3425.5186608573113, 4285.808973663911]	[690.3300989313813, 207.05247151091527, 955.3324923601156],[127.87317823038568, 421.145660198868, 298.11737943494364, 392.7180919195944],[51.02163871568928, 422.9849224979449, 218.1270042797675, 1805.4826479583708, 729.1742455952647],[79.34699739540677, 226.37820931872787, 133.985350594285, 708.7509198177955, 432.81027754695845]				
UH	1	WOULD	376.5	1313.5	2161.0	52.7	98.3	1732.0	79.923	79.9	79.97	0.07	7	1	4	2	9	0			401.1	1301.5	373.9	1313.4	353.5	1305.7	324.0	1276.2	275.9	1265.4	W	D	['W', 'UH1', 'D']	1	6	[931.3703119917653, 2765.328371574516],[814.6997239651184, 2233.150351206205],[379.5400319342183, 1323.3164720469547, 2329.397161133846, 3355.5003060724207, 4421.942126983245],[376.5073093559338, 1313.5096393727615, 2161.031751811566, 2360.8239783103036, 3370.8793379453073, 4437.441425700888]	[1286.7191778787624, 1206.1103949970473],[1229.4714711945803, 802.9891807483094],[58.159042551503234, 82.031177732484, 80.86842346907022, 66.74717680444095, 201.0482678002042],[52.708470668715584, 98.27006241836689, 1732.02136522607, 725.5390380823552, 57.27413222771537, 125.85712750048029]				
IY	0	BE	324.4	2301.8	3052.8	83.0	216.6	220.5	80.13	80.04	80.31	0.27	12	0	0	0	1	0									856.3	2944.3	2545.1	4004.6	B		['B', 'IY0']	1	4	[2753.910192716366],[324.4026860051807, 2301.825221328245, 3052.750826688962],[320.4049092962292, 2172.314340135913, 2901.263435749928, 3447.33282627452],[331.18056819915313, 2157.766607866322, 2825.5239954313215, 3425.6592778567506, 4779.262227737859]	[334.94523328709676],[82.95281112623634, 216.5957235557749, 220.51915601686338],[29.507701358111035, 253.02382605605715, 384.77851853424613, 1072.303137440218],[54.15651597228237, 116.07269583159227, 182.01563520987244, 387.7669063966683, 368.7301700070012]				
EY	1	SAY	417.7	1995.4	2723.5	42.7	104.5	244.8	80.459	80.43	80.489	0.059	22	0	0	0	3	0			413.8	1977.6	415.2	1986.7	417.7	1995.4	422.8	1998.3	426.7	2000.3	S		['S', 'EY1']	1	5	[2379.90273867806, 3242.985515467447],[426.5972960439332, 2072.9210090367233, 2861.1879870983075, 4312.840342369002],[417.6766737560276, 1995.3946597000238, 2723.4662643591355, 3443.0474766979723, 4476.769523930716],[413.6507637213292, 1874.5921716532432, 2014.071750338084, 2763.5749336170115, 3629.443425750811, 4540.244197528557]	[747.1242186326249, 2384.7302873352614],[165.01692458248053, 144.44035817559387, 198.31346438791502, 515.7063683510389],[42.744789977124896, 104.46063106018521, 244.76521722468212, 1125.0363322150029, 942.6957932113188],[28.51693254361367, 1250.3600118792453, 345.8227498592494, 188.16112411108344, 676.8308318794309, 614.1988674168206]				
